Frame N BAPnP_Time EPnP_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R SQPnP_R CPnP_R BAPnP_t EPnP_t SQPnP_t CPnP_t
154 432 0.084957 0.896905 0.067623 0.264152 3.01061 3.01063 3.21555 3.01028 0.0540734 0.054072 0.059804 0.0540578
155 705 0.182915 1.97347 0.115317 0.428708 2.39049 2.39074 2.44793 0.842832 0.0695715 0.0695727 0.0709818 0.0833087
156 606 0.141977 1.33694 0.108335 0.281238 1.97328 1.97331 3.35676 6.88135 0.0550538 0.0550498 0.115148 0.893657
157 705 0.161823 1.54168 0.107658 0.515862 2.72124 2.7214 3.01109 2.61719 0.0507131 0.0507152 0.0731066 0.0496683
158 466 0.130147 1.15384 0.149665 0.248446 21.9667 2.16172 3.71494 2.18547 1.30218 0.0822994 0.135743 0.0590087
159 998 0.594053 3.10426 0.130184 0.570675 0.857818 0.857767 0.418387 0.942702 0.0306951 0.0306998 0.0308446 0.0241703
160 984 0.188727 2.40486 0.117616 0.547449 0.422318 0.422115 0.362492 0.415763 0.0229726 0.022966 0.0225987 0.0220143
161 923 0.174217 2.27595 0.112732 0.57798 0.484625 0.484746 0.846172 0.459943 0.0317699 0.0317645 0.0407782 0.0318483
162 568 0.14052 1.73738 0.129392 0.419593 1.0726 1.07369 0.892526 1.1727 0.0397197 0.0396977 0.0581829 0.0214096
163 604 0.14468 1.33692 0.102423 0.289082 1.76291 1.76261 1.53289 2.00215 0.0338226 0.0338244 0.0707736 0.0271291
164 228 0.066549 0.672352 0.063834 0.132215 1.88239 1.87387 4.60173 1.89335 0.106917 0.106957 0.217708 0.0531735
165 341 0.094626 0.861295 0.062471 0.173017 1.60109 1.60151 3.30999 1.86063 0.0658827 0.0658761 0.0970181 0.058503
166 493 0.115075 1.04806 0.0744 0.236279 0.920596 0.920529 1.47207 0.871268 0.0557657 0.055768 0.0687943 0.0570278
167 226 0.065059 0.662458 0.113121 0.125349 4.67867 4.6788 6.84597 11.6036 0.0607502 0.0607889 0.188487 0.568771
168 316 0.08767 0.796221 0.071323 0.15975 17.0723 0.833465 4.45544 1.22053 0.958084 0.127795 0.143489 0.0750286
169 458 0.124859 0.975828 0.086434 0.21681 1.72828 1.72785 3.19015 1.72141 0.0758405 0.0758397 0.103419 0.0702669
170 203 0.059993 0.610457 0.051817 0.115773 3.3964 3.39851 6.24905 2.97516 0.124964 0.12491 0.207826 0.0682543
171 312 0.087692 1.09862 0.198369 0.272726 7.90662 7.90775 9.89981 8.03131 0.140781 0.140857 0.209255 0.144481
172 131 0.045755 0.552201 0.108655 0.125385 4.22073 4.21855 8.06735 6.14839 0.13168 0.131705 0.237673 0.168618
173 618 0.149951 1.96816 0.125229 0.707318 2.34056 2.34056 3.27415 2.1762 0.0462274 0.0462272 0.0864162 0.0668021
174 454 0.130375 1.67269 0.10981 0.419228 2.71445 2.71413 3.67244 3.01802 0.0573573 0.0573552 0.101415 0.0791029
175 450 0.126179 0.933794 0.088449 0.213578 2.34943 2.35077 2.21652 2.79374 0.114498 0.114535 0.0963257 0.109586
176 256 0.072927 0.651286 0.070626 0.144447 2.04837 2.04856 1.74754 8.06279 0.0779413 0.0779906 0.196749 0.323415
177 376 0.10491 0.899132 0.096717 0.182114 2.97212 2.97382 1.86965 4.1181 0.0376037 0.0375892 0.112009 0.34001
178 182 0.053475 0.504213 0.112277 0.109157 2.98474 2.98583 7.6198 2.39941 0.224038 0.224059 0.335799 0.952686
179 278 0.339279 0.916934 0.085006 0.161837 2.27381 2.2728 4.44662 2.53813 0.0456961 0.0457194 0.140452 0.0176775
180 175 0.054158 0.550475 0.074401 0.106468 1.74355 1.74353 4.9237 4.57476 0.0578317 0.0578319 0.212877 0.53933
181 302 0.084097 0.838235 0.113635 0.154008 23.0248 4.97264 6.24521 nan 1.23803 0.0629107 0.346204 -nan
182 342 0.09408 0.732936 0.091507 0.171044 0.816196 0.816073 4.26622 1.7768 0.0468449 0.0468349 0.207674 0.305243
183 403 0.096082 1.30868 0.116289 0.251 3.15518 3.15474 4.36865 3.04759 0.0528008 0.0527912 0.11079 0.0515973
184 454 0.128788 1.26834 0.135754 0.282884 1.30289 1.30174 2.46119 7.98081 0.0321981 0.032186 0.136963 0.356588
185 511 0.123909 1.19339 0.081593 0.374039 2.59304 2.59344 1.87736 2.61263 0.0360787 0.0360873 0.0344266 0.0365952
186 280 0.084301 0.803856 0.074031 0.255065 1.40877 1.40843 3.01667 1.45894 0.090525 0.0904876 0.131075 0.0376734
187 247 0.074312 0.699886 0.369306 0.17114 3.52071 3.52318 6.05632 3.4331 0.0867521 0.0867732 0.203485 0.0636932
188 280 0.103136 0.957901 0.069715 0.14653 2.78978 2.7896 2.82529 2.83567 0.0753668 0.0753671 0.0880916 0.0653085
189 158 0.047118 0.455494 0.07774 0.098654 3.9851 3.98389 3.79258 4.10997 0.0998558 0.0998807 0.108785 0.0977068
190 155 0.046242 0.505372 0.105801 0.096208 4.39062 4.39192 8.92847 3.88397 0.12939 0.129406 0.203342 0.120188
191 183 0.053213 0.675468 0.123276 0.119086 5.33907 5.34068 7.64031 16.976 0.0770103 0.0769924 0.148681 0.524823
192 134 0.037802 0.365656 0.065222 0.088191 3.62107 3.62227 4.79794 3.68403 0.0766696 0.0766994 0.1106 0.103647
193 189 0.055139 0.51496 0.048778 0.108618 4.94658 4.95019 1.54183 4.88692 0.112148 0.112185 0.0799641 0.0782824
194 226 0.057445 0.796272 0.049652 0.128662 0.988376 0.989891 0.139676 1.2352 0.0434359 0.0434613 0.0337249 0.0487245
195 154 0.046256 0.447005 0.059355 0.096348 6.27482 6.27684 6.11473 6.73565 0.0604085 0.060468 0.0879699 0.0657387
196 173 0.04405 0.42759 0.057139 0.102147 3.71451 3.71448 3.6858 3.57698 0.0249716 0.0249536 0.0167447 0.0251384
197 196 0.057146 0.652363 0.107853 0.112296 3.33543 3.11514 7.12892 9.34799 0.0325833 0.0365428 0.14241 0.410353
198 82 0.027676 0.397231 0.134124 0.06579 20.101 2.9599 5.99905 nan 0.703177 0.0717069 0.230816 -nan
199 93 0.030887 0.428394 0.12868 0.071236 5.77667 5.77277 5.24011 18.0724 0.132027 0.131984 0.181113 0.409792
200 101 0.033025 0.33874 0.056786 0.07373 3.88348 3.88387 3.59851 5.28207 0.10383 0.103864 0.0639078 0.0554401
201 79 0.027747 0.269287 0.038888 0.068446 5.94972 5.94848 3.18639 6.79894 0.0893972 0.0893776 0.0423077 0.0950266
